rng,-14,-11,-8,-5,-2,1,3,6,8,11,12,15,16,19,22,24,25,26,27
0xd978f69d,444,444,444,444,444,444,444,123,123,123,123,123,123,123,123,123,123,123,123,
0xe130712,456,456,456,456,241,241,241,241,241,241,241,123,123,123,123,123,123,123,123,
0xd42daee3,456,564,564,564,564,564,564,111,111,111,111,111,111,111,111,111,111,111,111,
0x294ed0e0,222,222,222,222,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,
0x7735f99,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,
0x1c96825e,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,
0xba82563f,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,
0xd3801b0c,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,
0xd115c55,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,OUT,OUT,OUT,
0xd944666a,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,OUT,123,123,
0x7950175b,422,422,422,422,422,422,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,123,123,
0x3999dbf8,644,644,644,644,644,644,644,123,123,123,123,123,123,123,123,123,123,123,123,
0x815868d1,456,456,456,456,146,146,146,146,146,123,123,123,123,123,123,123,123,123,123,
0x253a7f36,456,456,543,543,543,543,543,543,111,111,111,111,111,111,111,111,111,111,111,
0xc66ece37,444,444,444,335,335,335,335,335,335,335,335,335,335,111,111,111,111,111,111,
0xb58cbfa4,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,
0xc29c10d,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,464,
0x83a758c2,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,
0xf35816d3,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0xada83210,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,
0xf83e6109,643,643,643,643,643,643,643,643,643,643,643,643,643,643,OUT,OUT,OUT,OUT,OUT,
0xa163f0e,535,535,535,535,535,535,535,535,535,535,535,535,535,535,535,123,123,123,123,
0x65834d2f,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,
0xdbc65f3c,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,663,
0xe8e304c5,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,
0x97b3e1a,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,346,
0x38818d4b,341,341,341,341,341,341,341,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xdb383328,224,224,224,224,224,224,224,123,123,123,123,123,123,123,123,123,123,123,123,
0x2f742841,456,456,456,456,446,446,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x3bff21e6,611,611,611,611,611,611,123,123,123,111,111,111,111,111,111,111,111,111,111,
0xe5d9b327,333,333,333,456,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,
0xa97159d4,356,356,356,356,356,356,356,111,111,111,111,111,111,111,111,111,111,111,111,
0xfc9a077d,444,444,444,444,562,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x38b7672,526,526,526,526,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x8ea45ac3,456,456,456,456,456,456,464,464,464,464,464,464,464,464,464,123,123,123,123,
0x85743f40,464,464,464,464,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x69449e79,555,555,555,555,555,555,555,131,131,131,131,131,131,131,131,131,131,131,131,
0x51687be,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,
0x42e7e01f,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,632,
0x59fe0f6c,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,
0x1367a935,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,
0x2caf61ca,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,
0x62b45f3b,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,
0x9e72b658,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,
0xca76a3b1,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,651,
0xe649d096,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,
0xf4ffb417,263,263,263,263,263,263,263,263,263,263,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x5a88e004,242,242,242,242,242,242,242,242,242,242,242,123,123,123,123,123,123,123,123,
0x87a0c9ed,456,322,322,322,322,322,322,322,322,322,322,322,322,322,123,123,123,123,123,
0x174a6022,653,653,653,653,653,653,653,653,653,653,653,653,653,653,123,123,123,111,111,
0x90417ab3,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,
0xb8b5f870,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,
0xadcd17e9,642,642,642,642,642,642,642,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x24d25c6e,252,252,252,252,252,252,252,252,123,123,123,123,123,123,123,123,123,123,123,
0x30cf0f0f,456,456,456,311,311,311,311,311,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0x535a2b9c,111,111,111,111,111,OUT,OUT,OUT,123,123,123,111,111,111,111,111,111,111,111,
0x4d5649a5,666,456,456,432,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,
0x12cbd17a,456,456,456,456,456,456,521,521,521,521,521,521,111,111,111,111,111,111,111,
0x18f78d2b,333,622,622,622,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,
0x28ac6588,666,666,666,666,666,666,666,634,634,634,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xe786db21,143,143,143,143,143,143,143,143,143,143,143,123,123,123,123,123,123,123,123,
0x87b58b46,456,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,
0x96dfd107,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,111,111,
0xe1665234,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,561,
0xedd5085d,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,OUT,
0x412f15d2,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,426,
0x4c1e76a3,543,543,543,543,543,543,543,543,543,543,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,OUT,
0xd6305da0,264,264,264,264,264,264,264,264,264,264,264,123,123,123,123,123,123,123,123,
0xf8decd59,456,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,
0x4544bd1e,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,111,111,
0x5317d9ff,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,
0xffcdb3cc,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,
